path,ext,top_dir,doc_section,bytes,mtime,git_last_commit_date,git_status,sha1,protection
docs/reports/R5_abac_policy_matrix.md,md,docs,reports,1816,2026-06-12T05:46:42.846Z,2026-06-12,clean,ccd28a654e6cbe3b6ae742319674e08d936abbd9,reviewable
docs/reports/R6_ai_gate_metrics.md,md,docs,reports,1900,2026-06-12T10:15:37.418Z,2026-06-12,clean,4868ecfad1d991b156a5494244fbd5b04a1f30da,reviewable
docs/reports/R8_contract_intelligence_metrics.md,md,docs,reports,778,2026-06-12T11:54:07.537Z,2026-06-12,clean,a07c9de830be869c3c22ced9fc4aacb4aaa20584,reviewable
docs/reports/R9_dd_vault_traceability.md,md,docs,reports,4084,2026-06-12T12:27:45.128Z,2026-06-12,clean,46ef7d4078a73e2af83cf592267496398312a974,reviewable
docs/reports/gemma4_hardening_l0_evidence.md,md,docs,reports,9605,2026-06-21T13:20:56.854Z,2026-06-16,clean,2cc1824004f39a404c2255ae42de6968b38e96af,protected_evidence_ref_review_only
docs/reports/gemma4_hardening_l2_evidence_adapter.md,md,docs,reports,2054,2026-06-21T13:20:56.854Z,2026-06-16,clean,1a3769fe248bfb24b4c5e9cf20c0efe4afb893d4,protected_evidence_ref_review_only
docs/reports/local_ai_negative_case_matrix.md,md,docs,reports,10908,2026-06-21T13:20:56.855Z,2026-06-16,clean,9b66ba6ca3765052d3181118f6b17f284b8a4745,reviewable
docs/reports/local_ai_operating_layer.md,md,docs,reports,6373,2026-06-21T13:20:56.855Z,2026-06-16,clean,fa2b9be1fcdbd1a30e2b3748d58394383bfe0317,reviewable
docs/reports/local_ai_upload_prep_smoke.md,md,docs,reports,6918,2026-06-21T13:20:56.855Z,2026-06-15,clean,9d2b6a9eab7f547f8d7e869f327f2871c27cac1a,reviewable
docs/reports/local_model_bench_lane.md,md,docs,reports,2935,2026-06-21T13:20:56.855Z,2026-06-16,clean,a0708ab24ef21db43afefa05f8e65b921ce89731,reviewable
docs/security/access-request-workflow.md,md,docs,security,2968,2026-06-21T13:20:56.855Z,2026-06-21,clean,fc91345182a09c0e37dfde875ab2e8c0b55c7e8e,reviewable
docs/security/desktop-cache-policy.md,md,docs,security,2890,2026-06-15T00:11:15.233Z,2026-06-14,clean,8b729932bfe52014a9128e4b7d86e22dafa01403,reviewable
docs/security/desktop-threat-model.md,md,docs,security,3606,2026-06-15T00:11:15.234Z,2026-06-14,clean,ca819972931cdc2bf14dba1a0b5fc5c696a94dac,reviewable
docs/security/outlook-addin-threat-model.md,md,docs,security,6954,2026-06-21T13:20:56.855Z,2026-06-16,clean,e0fceb457e67d6060e2f11767cd7d18a7c49c73e,reviewable
docs/security/search-privacy.md,md,docs,security,2285,2026-06-21T13:20:56.855Z,2026-06-20,clean,dd4bfde5aa4f876707d7c5efb81cca560b08b939,reviewable
docs/ui/design-system-checklist.md,md,docs,ui,4492,2026-06-21T13:20:56.855Z,2026-06-18,clean,40c8e468b193781131913f3e1ed95b387d7fa600,reviewable
docs/ui/enterprise-dms-pr-d-closeout.md,md,docs,ui,7168,2026-06-21T13:20:56.856Z,2026-06-20,clean,5c8d93d16db156c7104352beb84a82481dcf845c,reviewable
docs/ui/enterprise-dms-pr-e-closeout.md,md,docs,ui,11124,2026-06-21T13:20:56.856Z,2026-06-21,clean,5d3dad830637263fa4e287a745e3d9621fd5a916,reviewable
docs/ui/enterprise-dms-pr-f-readiness.md,md,docs,ui,12532,2026-06-21T13:20:56.856Z,2026-06-21,clean,305a0ba599184c2edcc75792db32cad1a340b8c7,reviewable
docs/ui/enterprise-dms-release-hardening.md,md,docs,ui,12224,2026-06-21T13:20:56.857Z,2026-06-21,clean,37c5d8e4b804988f8bc0b89c391e6152062e98b9,reviewable
docs/ui/enterprise-dms-ux-baseline-gap-audit.md,md,docs,ui,33375,2026-06-22T04:39:37.170Z,2026-06-22,clean,e577faf27e5c17898cda392930c6d0acf193fceb,reviewable
docs/ui/enterprise-dms-ux-route-capability-inventory.md,md,docs,ui,56563,2026-06-21T13:20:56.858Z,2026-06-21,clean,062b0a2da687727d382f2d1a2f9e40211cc2bf8a,reviewable
docs/ui/enterprise-dms-ux-tuw-plan.md,md,docs,ui,49427,2026-06-22T04:36:57.770Z,2026-06-22,clean,1875c372389ad565480649a1eefdf7b93e7965f0,reviewable
docs/ui/pr-review-checklist.md,md,docs,ui,10407,2026-06-21T13:20:56.859Z,2026-06-20,clean,b4f3c324c049f65092bd804ae180179ac6eda472,reviewable
